,ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,segments
43,ID_308291_Wsm6xe,Ummqfuetoc,5,L,25,32,2.1,IBA980581,Early,processed_data/train/Ummqfuetoc_5.png
44,ID_819632_Ytjapa,Mskdmpitqk,3,R,27,36,1.4,TMEB419,Early,processed_data/train/Mskdmpitqk_3.png
45,ID_469361_Rhupas,Mskdmpitqk,4,R,27,36,2.1,TMEB419,Early,processed_data/train/Mskdmpitqk_4.png
46,ID_935675_Rve787,Me1ufzzcxk,5,R,23,32,0.02,TMEB419,Early,processed_data/train/Me1ufzzcxk_5.png
47,ID_456912_Blrqzy,Ah4ubi4ggi,3,L,42,49,2.3,IITA-TMS-IBA000070,Early,processed_data/train/Ah4ubi4ggi_3.png
48,ID_601291_Krxvyc,Mylwjeq6tq,4,R,19,42,2.7,IBA980581,Early,processed_data/train/Mylwjeq6tq_4.png
49,ID_804694_Fiysfq,Ifqbqqrika,6,L,26,32,0.8,TMEB693,Early,processed_data/train/Ifqbqqrika_6.png
50,ID_619512_Hveydf,Dz9lpsl9ae,2,R,45,50,0.9,TMEB419,Early,processed_data/train/Dz9lpsl9ae_2.png
51,ID_613613_Nlusan,Qinorm9cg3,6,R,22,30,0.4,IBA980581,Early,processed_data/train/Qinorm9cg3_6.png
52,ID_211500_Ndgm1d,Vbkivqphuz,5,L,20,32,2.1,TMEB693,Early,processed_data/train/Vbkivqphuz_5.png
53,ID_972865_Fn6ars,Puya1uaaln,3,R,16,37,3.8,TMEB419,Early,processed_data/train/Puya1uaaln_3.png
54,ID_885233_Ay9evt,Ifqbqqrika,3,R,20,25,0.3,TMEB693,Early,processed_data/train/Ifqbqqrika_3.png
55,ID_378379_Edfqp5,Lsdgz02kdp,4,R,17,27,1.7,TMEB693,Early,processed_data/train/Lsdgz02kdp_4.png
56,ID_470797_Ayxwed,Dz9lpsl9ae,3,L,37,46,2.5,TMEB419,Early,processed_data/train/Dz9lpsl9ae_3.png
57,ID_636792_Iqfew2,L5l1h3kekg,4,L,38,50,1.4,IITA-TMS-IBA000070,Early,processed_data/train/L5l1h3kekg_4.png
58,ID_930483_Dtfg1r,Pucqtyga9u,3,L,30,40,0.5,TMEB419,Early,processed_data/train/Pucqtyga9u_3.png
59,ID_543377_Puizhy,Puya1uaaln,4,R,16,37,1.9,TMEB419,Early,processed_data/train/Puya1uaaln_4.png
60,ID_588554_Hzpbye,P3om3dfa78,1,R,21,31,0.9,TMEB419,Early,processed_data/train/P3om3dfa78_1.png
61,ID_750705_Fl3z8e,Ot13d4nq6t,3,L,41,50,0.5,DIXON,Early,processed_data/train/Ot13d4nq6t_3.png
62,ID_326412_Yepco3,Jtcfkuovxk,4,R,28,45,0.4,TMEB693,Early,processed_data/train/Jtcfkuovxk_4.png
63,ID_717973_Dmcd2q,Vinlgebupo,6,L,23,29,0.8,IBA980581,Early,processed_data/train/Vinlgebupo_6.png
64,ID_434216_Bjmknr,F3odypnsyf,5,L,15,23,3.4,IITA-TMS-IBA000070,Late,processed_data/train/F3odypnsyf_5.png
65,ID_147245_X3bsuc,Wgutyon8uu,3,L,18,45,1.8,TMEB419,Early,processed_data/train/Wgutyon8uu_3.png
66,ID_643905_Ruonfx,Lwuwokuhrf,5,R,15,30,5.8,TMEB419,Early,processed_data/train/Lwuwokuhrf_5.png
67,ID_279168_I3ptav,Hzapvbcfm8,4,R,24,30,1.4,IBA154810,Early,processed_data/train/Hzapvbcfm8_4.png
68,ID_772320_Mbgwbz,Vbkivqphuz,3,R,30,38,2.1,TMEB693,Early,processed_data/train/Vbkivqphuz_3.png
69,ID_262580_W6oitf,H9lomh5fxk,5,L,40,50,0.3,TMEB419,Early,processed_data/train/H9lomh5fxk_5.png
70,ID_311146_Vhntsv,L8w7zu7wek,3,L,33,51,4.5,IITA-TMS-IBA000070,Early,processed_data/train/L8w7zu7wek_3.png
71,ID_721485_Slgu6q,Mskdmpitqk,4,L,21,36,2.1,TMEB419,Early,processed_data/train/Mskdmpitqk_4.png
72,ID_714845_Rfhbdv,Isdzz86frg,6,L,10,23,2.3,IITA-TMS-IBA000070,Late,processed_data/train/Isdzz86frg_6.png
73,ID_677067_Lk1opz,S6lk1xauct,5,L,28,33,2.3,TMEB419,Early,processed_data/train/S6lk1xauct_5.png
74,ID_364756_Ypesry,Jrem9eo37e,5,L,29,36,2.6,IBA154810,Early,processed_data/train/Jrem9eo37e_5.png
75,ID_106896_Zl2dzl,Pucqtyga9u,6,R,37,43,1.5,TMEB419,Early,processed_data/train/Pucqtyga9u_6.png
76,ID_820530_Axdmox,Pw4ytibfql,2,R,28,35,1.4,TMEB419,Early,processed_data/train/Pw4ytibfql_2.png
77,ID_543302_Ce9sym,Yjzw2bylox,6,L,25,32,0.9,TMEB693,Early,processed_data/train/Yjzw2bylox_6.png
78,ID_381199_Gmjp9s,V6awcupt6m,6,L,34,41,0.2,TMEB693,Early,processed_data/train/V6awcupt6m_6.png
79,ID_568055_Ynpzbb,Xydfltswbm,5,L,43,50,2.5,IBA154810,Early,processed_data/train/Xydfltswbm_5.png
80,ID_162495_Ppjteb,Pucqtyga9u,2,R,37,43,0.5,TMEB419,Early,processed_data/train/Pucqtyga9u_2.png
81,ID_964010_Vm9kue,L8w7zu7wek,2,R,27,33,2.2,IITA-TMS-IBA000070,Early,processed_data/train/L8w7zu7wek_2.png
82,ID_375603_Gdqrl8,Kjvcz6bjfj,3,R,26,39,2.3,IBA980581,Early,processed_data/train/Kjvcz6bjfj_3.png
83,ID_722021_Zddwq1,Rzyf8hal4j,3,L,32,40,3.0,IBA154810,Early,processed_data/train/Rzyf8hal4j_3.png
84,ID_170847_F3fsoi,Lwuwokuhrf,1,R,15,30,3.1,TMEB419,Early,processed_data/train/Lwuwokuhrf_1.png
85,ID_754042_Owwqpa,Tbhppxjkvr,5,L,22,31,2.7,IBA980581,Early,processed_data/train/Tbhppxjkvr_5.png
86,ID_645074_Wwbbkm,Miny0c252a,2,R,28,35,2.8,IITA-TMS-IBA000070,Early,processed_data/train/Miny0c252a_2.png
87,ID_712776_Muhdiq,Hzapvbcfm8,6,R,24,30,0.75,IBA154810,Early,processed_data/train/Hzapvbcfm8_6.png
88,ID_791725_Rhiidd,Toaefqwoli,6,L,37,47,0.5,TMEB419,Early,processed_data/train/Toaefqwoli_6.png
89,ID_668337_Sbyzrp,Puya1uaaln,4,L,26,42,1.9,TMEB419,Early,processed_data/train/Puya1uaaln_4.png
90,ID_260577_Zumui0,Rzyf8hal4j,5,R,38,47,3.0,IBA154810,Early,processed_data/train/Rzyf8hal4j_5.png
91,ID_757689_Dcife2,Vlcavd4dwj,3,L,34,42,2.8,IITA-TMS-IBA000070,Early,processed_data/train/Vlcavd4dwj_3.png
92,ID_322039_Ygm7e5,Cex3glsnzv,7,L,40,47,0.2,DIXON,Early,processed_data/train/Cex3glsnzv_7.png
93,ID_906453_Jtgmbn,Vlqr6qhbqk,6,L,48,55,1.8,IBA154810,Early,processed_data/train/Vlqr6qhbqk_6.png
94,ID_547014_P8mj1g,S6lk1xauct,4,L,28,33,2.1,TMEB419,Early,processed_data/train/S6lk1xauct_4.png
95,ID_432631_Fnb8jf,Q91mym9ev4,3,R,22,30,1.7,TMEB693,Early,processed_data/train/Q91mym9ev4_3.png
96,ID_597793_X99k4f,Tbhppxjkvr,3,R,16,24,2.7,IBA980581,Early,processed_data/train/Tbhppxjkvr_3.png
97,ID_755935_Bzrkjq,Aevcaxguiw,2,L,8,16,4.2,IITA-TMS-IBA000070,Late,processed_data/train/Aevcaxguiw_2.png
98,ID_325246_Pppt37,S6lk1xauct,3,R,24,39,2.3,TMEB419,Early,processed_data/train/S6lk1xauct_3.png
99,ID_175452_Du2oso,Dhfwcg1uj2,2,R,20,32,0.9,IBA154810,Early,processed_data/train/Dhfwcg1uj2_2.png
100,ID_778253_Ffmftz,Rzyf8hal4j,4,L,32,40,1.8,IBA154810,Early,processed_data/train/Rzyf8hal4j_4.png
101,ID_335091_Rceu2s,Ecxdebmlnr,1,R,25,36,0.3,IITA-TMS-IBA000070,Early,processed_data/train/Ecxdebmlnr_1.png
102,ID_753044_J7koen,Izbgyxre0g,5,R,22,33,2.2,IBA154810,Early,processed_data/train/Izbgyxre0g_5.png
103,ID_924076_Gqkl6j,Ph2ti2sjzu,4,L,22,35,4.2,IBA980581,Early,processed_data/train/Ph2ti2sjzu_4.png
104,ID_246322_Wcvxox,B8x7mhxe6z,7,L,23,33,0.8,IBA154810,Early,processed_data/train/B8x7mhxe6z_7.png
105,ID_871726_Heyzw6,Xydfltswbm,3,L,43,50,0.5,IBA154810,Early,processed_data/train/Xydfltswbm_3.png
106,ID_495384_Ezhnq9,Xrrcqvdbkw,3,R,27,36,2.1,IBA154810,Early,processed_data/train/Xrrcqvdbkw_3.png
107,ID_225072_B3txqy,Ah4ubi4ggi,3,R,27,44,3.1,IITA-TMS-IBA000070,Early,processed_data/train/Ah4ubi4ggi_3.png
108,ID_290289_L4hhmq,L8w7zu7wek,5,L,33,51,2.9,IITA-TMS-IBA000070,Early,processed_data/train/L8w7zu7wek_5.png
109,ID_198688_Euc97b,F5lrpuuq8q,2,R,23,31,2.7,IBA980581,Early,processed_data/train/F5lrpuuq8q_2.png
110,ID_224297_Plu8jf,Dhfwcg1uj2,6,L,20,32,0.9,IBA154810,Early,processed_data/train/Dhfwcg1uj2_6.png
111,ID_375872_E2puro,Rzyf8hal4j,2,R,38,47,1.4,IBA154810,Early,processed_data/train/Rzyf8hal4j_2.png
112,ID_327496_F9llgg,Klhqlr0ako,5,L,38,47,1.4,TMEB693,Early,processed_data/train/Klhqlr0ako_5.png
113,ID_140931_Eidoxm,Lwuwokuhrf,7,L,25,40,3.1,TMEB419,Early,processed_data/train/Lwuwokuhrf_7.png
114,ID_287267_Egezfb,S6lk1xauct,4,R,24,39,2.1,TMEB419,Early,processed_data/train/S6lk1xauct_4.png
115,ID_194164_Bsrwho,Pucqtyga9u,4,R,37,43,1.4,TMEB419,Early,processed_data/train/Pucqtyga9u_4.png
116,ID_789159_Aqdtho,Kcqzgef5an,7,L,18,27,0.0,TMEB693,Early,processed_data/train/Kcqzgef5an_7.png
117,ID_309524_Tsywg8,Kjvcz6bjfj,4,R,26,39,2.1,IBA980581,Early,processed_data/train/Kjvcz6bjfj_4.png
118,ID_526113_Y4b17u,A6dzrkjqvl,4,L,33,42,1.8,IITA-TMS-IBA000070,Early,processed_data/train/A6dzrkjqvl_4.png
119,ID_105069_Ivzzqa,Jtcfkuovxk,5,L,18,26,2.1,TMEB693,Early,processed_data/train/Jtcfkuovxk_5.png
120,ID_761355_Ksxzhs,Hzapvbcfm8,2,R,24,30,1.7,IBA154810,Early,processed_data/train/Hzapvbcfm8_2.png
121,ID_502352_Sz2zeb,Hzapvbcfm8,4,L,19,35,1.4,IBA154810,Early,processed_data/train/Hzapvbcfm8_4.png
122,ID_964577_Dvzz6h,Ummqfuetoc,2,R,17,26,2.2,IBA980581,Early,processed_data/train/Ummqfuetoc_2.png
123,ID_458058_L3ygsi,V6awcupt6m,5,L,34,41,0.8,TMEB693,Early,processed_data/train/V6awcupt6m_5.png
124,ID_934120_Rpwsrz,Ceibvxd51g,3,R,37,45,0.1,DIXON,Early,processed_data/train/Ceibvxd51g_3.png
125,ID_185883_Bt6qfa,Ot13d4nq6t,2,L,41,50,0.5,DIXON,Early,processed_data/train/Ot13d4nq6t_2.png
126,ID_388923_Vspgeb,Jtcfkuovxk,4,L,18,26,0.4,TMEB693,Early,processed_data/train/Jtcfkuovxk_4.png
127,ID_228448_Fpjidx,Pucqtyga9u,4,L,30,40,1.4,TMEB419,Early,processed_data/train/Pucqtyga9u_4.png
128,ID_402352_Ghl6ae,Pw4ytibfql,6,L,25,32,1.4,TMEB419,Early,processed_data/train/Pw4ytibfql_6.png
129,ID_338368_Lpb5hs,Xdi1ipcemf,5,L,21,28,3.8,IITA-TMS-IBA000070,Early,processed_data/train/Xdi1ipcemf_5.png
130,ID_942723_U6r0cz,Bs8ueatyis,6,L,33,42,1.8,TMEB693,Early,processed_data/train/Bs8ueatyis_6.png
131,ID_173595_Oveu0u,F1p0lhe1ij,1,R,30,37,2.9,IITA-TMS-IBA000070,Early,processed_data/train/F1p0lhe1ij_1.png
132,ID_708233_Phevgh,Bs8ueatyis,7,L,33,42,0.4,TMEB693,Early,processed_data/train/Bs8ueatyis_7.png
133,ID_183767_Vuz2mr,Lsdgz02kdp,4,L,29,40,1.7,TMEB693,Early,processed_data/train/Lsdgz02kdp_4.png
134,ID_884519_Vdztlr,B5myqsh1wi,5,R,26,35,0.1,TMEB419,Early,processed_data/train/B5myqsh1wi_5.png
135,ID_870170_Tfgnvr,Hc3b9gicdo,1,R,29,38,1.9,IITA-TMS-IBA000070,Early,processed_data/train/Hc3b9gicdo_1.png
136,ID_579277_S5z2ov,B8x7mhxe6z,5,R,20,30,6.6,IBA154810,Early,processed_data/train/B8x7mhxe6z_5.png
137,ID_778776_Jbjg2v,Mrw7chmalv,5,L,18,23,0.9,IBA154810,Early,processed_data/train/Mrw7chmalv_5.png
138,ID_598878_Hoeecl,Up8aqujy0s,6,R,25,33,4.9,IBA154810,Early,processed_data/train/Up8aqujy0s_6.png
139,ID_744473_Wa9j0w,Ceibvxd51g,4,R,37,45,0.7,DIXON,Early,processed_data/train/Ceibvxd51g_4.png
140,ID_546186_R7be7y,Ah4ubi4ggi,5,L,42,49,3.1,IITA-TMS-IBA000070,Early,processed_data/train/Ah4ubi4ggi_5.png
141,ID_422138_Vqhuqf,Mskdmpitqk,2,L,21,36,1.7,TMEB419,Early,processed_data/train/Mskdmpitqk_2.png
142,ID_635513_Jn1fnv,Ceibvxd51g,6,R,37,45,0.5,DIXON,Early,processed_data/train/Ceibvxd51g_6.png
143,ID_261694_Oa4ssj,Td901zykbu,3,L,8,14,2.3,TMEB419,Late,processed_data/train/Td901zykbu_3.png
144,ID_355808_Brk59j,Mrw7chmalv,6,L,18,23,3.3,IBA154810,Early,processed_data/train/Mrw7chmalv_6.png
145,ID_375447_Zarog3,Yznlv6wrsh,2,R,45,53,0.7,DIXON,Early,processed_data/train/Yznlv6wrsh_2.png
146,ID_371892_Zfw9o2,Ynjc34lyjb,6,L,10,16,4.0,TMEB693,Late,processed_data/train/Ynjc34lyjb_6.png
147,ID_684744_C8mesi,Lsdgz02kdp,2,R,17,27,1.4,TMEB693,Early,processed_data/train/Lsdgz02kdp_2.png
148,ID_373357_Xwidqe,Izbgyxre0g,3,L,24,37,2.2,IBA154810,Early,processed_data/train/Izbgyxre0g_3.png
149,ID_264213_Cgtotk,L8w7zu7wek,6,L,33,51,2.2,IITA-TMS-IBA000070,Early,processed_data/train/L8w7zu7wek_6.png
150,ID_360687_Uisdbc,Yxmmb4wt55,5,R,17,32,1.8,IITA-TMS-IBA000070,Early,processed_data/train/Yxmmb4wt55_5.png
151,ID_788219_Xfqpis,Vlqr6qhbqk,7,L,48,55,1.7,IBA154810,Early,processed_data/train/Vlqr6qhbqk_7.png
152,ID_514740_Z6tjqi,Mrw7chmalv,2,R,30,43,3.3,IBA154810,Early,processed_data/train/Mrw7chmalv_2.png
153,ID_367984_Bytnqc,Up8aqujy0s,3,R,25,33,1.8,IBA154810,Early,processed_data/train/Up8aqujy0s_3.png
154,ID_692153_Vihmpz,Mpmvh2mgm3,3,R,24,38,6.3,TMEB419,Early,processed_data/train/Mpmvh2mgm3_3.png
155,ID_713907_Yoe0xx,Mpmvh2mgm3,5,L,32,40,6.3,TMEB419,Early,processed_data/train/Mpmvh2mgm3_5.png
156,ID_401529_Uyzasm,Ox18ob0syv,4,L,25,32,2.7,IBA980581,Early,processed_data/train/Ox18ob0syv_4.png
157,ID_348064_Kojgm2,Lsdgz02kdp,6,L,29,40,1.4,TMEB693,Early,processed_data/train/Lsdgz02kdp_6.png
158,ID_931181_Fkqros,Ummqfuetoc,6,L,25,32,2.2,IBA980581,Early,processed_data/train/Ummqfuetoc_6.png
159,ID_926744_Whuinw,Efaiye0hmy,3,R,20,30,2.3,IBA980581,Early,processed_data/train/Efaiye0hmy_3.png
160,ID_108603_Ymh5st,Oipmzygepq,1,R,32,39,2.9,TMEB693,Early,processed_data/train/Oipmzygepq_1.png
161,ID_641773_Arvdbh,Ntqusw7xpb,3,L,19,31,3.5,TMEB419,Early,processed_data/train/Ntqusw7xpb_3.png
162,ID_560934_Foqzoq,Qhqftdiz4q,3,L,28,38,1.9,IITA-TMS-IBA000070,Early,processed_data/train/Qhqftdiz4q_3.png
163,ID_517102_H0gded,S11rphogci,5,R,25,35,1.7,IBA154810,Early,processed_data/train/S11rphogci_5.png
164,ID_627706_Jbbmfl,Geksu5kuf3,5,R,35,44,1.5,TMEB693,Early,processed_data/train/Geksu5kuf3_5.png
165,ID_538395_Ysc6pg,P3om3dfa78,5,R,21,31,3.1,TMEB419,Early,processed_data/train/P3om3dfa78_5.png
166,ID_820629_E0cmbu,S11rphogci,4,L,20,34,0.9,IBA154810,Early,processed_data/train/S11rphogci_4.png
167,ID_675049_Lu9jim,Kjvcz6bjfj,4,L,24,36,2.1,IBA980581,Early,processed_data/train/Kjvcz6bjfj_4.png
168,ID_646686_Imbjg8,Vwsx0beaxb,4,R,19,28,2.9,IBA980581,Early,processed_data/train/Vwsx0beaxb_4.png
169,ID_788890_Vpavbg,M4stkh3qez,3,R,26,34,1.7,IBA980581,Early,processed_data/train/M4stkh3qez_3.png
170,ID_460509_Hshszf,Ubgsvkns3h,2,L,33,40,0.15,IKN130010,Early,processed_data/train/Ubgsvkns3h_2.png
171,ID_552448_Xdrijw,Geksu5kuf3,4,R,35,44,2.5,TMEB693,Early,processed_data/train/Geksu5kuf3_4.png
172,ID_858876_Vraxy7,Xdi1ipcemf,2,R,32,38,4.3,IITA-TMS-IBA000070,Early,processed_data/train/Xdi1ipcemf_2.png
173,ID_769193_Hzpyfs,Vwsx0beaxb,4,L,27,39,2.9,IBA980581,Early,processed_data/train/Vwsx0beaxb_4.png
174,ID_504614_Uq7up4,Ph2ti2sjzu,6,L,22,35,3.1,IBA980581,Early,processed_data/train/Ph2ti2sjzu_6.png
175,ID_384233_G1mzyk,Up8aqujy0s,6,L,29,40,1.7,IBA154810,Early,processed_data/train/Up8aqujy0s_6.png
176,ID_421709_Tt7kdq,Tbhppxjkvr,4,R,16,24,2.3,IBA980581,Early,processed_data/train/Tbhppxjkvr_4.png
177,ID_737941_Ojh6bl,Ypktwvqjbn,4,L,33,41,0.9,IBA154810,Early,processed_data/train/Ypktwvqjbn_4.png
178,ID_628568_Jox84g,Pfp24vx905,4,R,27,34,2.6,TMEB419,Early,processed_data/train/Pfp24vx905_4.png
179,ID_164571_C087eg,Qhqftdiz4q,4,L,28,38,4.5,IITA-TMS-IBA000070,Early,processed_data/train/Qhqftdiz4q_4.png
180,ID_260420_Q52c06,Ummqfuetoc,3,R,17,26,2.1,IBA980581,Early,processed_data/train/Ummqfuetoc_3.png
181,ID_968227_Swsts5,Vlqr6qhbqk,4,L,48,55,0.8,IBA154810,Early,processed_data/train/Vlqr6qhbqk_4.png
182,ID_339012_Ng2xvo,Q4uyruus4j,2,R,27,33,1.5,IBA980581,Early,processed_data/train/Q4uyruus4j_2.png
183,ID_162228_Fl5bjt,Yznlv6wrsh,2,L,30,39,0.5,DIXON,Early,processed_data/train/Yznlv6wrsh_2.png
184,ID_433485_Jp0jac,Yxmmb4wt55,6,R,17,32,3.0,IITA-TMS-IBA000070,Early,processed_data/train/Yxmmb4wt55_6.png
185,ID_884180_Ixz9ew,Yznlv6wrsh,6,R,45,53,0.5,DIXON,Early,processed_data/train/Yznlv6wrsh_6.png
186,ID_467038_Nqf1lb,L5l1h3kekg,2,R,40,47,2.5,IITA-TMS-IBA000070,Early,processed_data/train/L5l1h3kekg_2.png
187,ID_805678_Um0fgy,Puya1uaaln,5,L,26,42,3.8,TMEB419,Early,processed_data/train/Puya1uaaln_5.png
188,ID_945384_D2zruc,Miny0c252a,1,R,28,35,2.5,IITA-TMS-IBA000070,Early,processed_data/train/Miny0c252a_1.png
189,ID_336490_Bums0z,Lsdgz02kdp,1,R,17,27,2.1,TMEB693,Early,processed_data/train/Lsdgz02kdp_1.png
190,ID_715148_B79wid,F1p0lhe1ij,2,R,30,37,2.3,IITA-TMS-IBA000070,Early,processed_data/train/F1p0lhe1ij_2.png
191,ID_352618_Bkgck9,F5lrpuuq8q,4,R,23,31,6.3,IBA980581,Early,processed_data/train/F5lrpuuq8q_4.png
192,ID_258788_Bsotub,Xrrcqvdbkw,6,R,27,36,2.2,IBA154810,Early,processed_data/train/Xrrcqvdbkw_6.png
193,ID_919400_Gdvbfj,F5lrpuuq8q,5,R,23,31,2.3,IBA980581,Early,processed_data/train/F5lrpuuq8q_5.png
194,ID_920387_Xgva6e,Dhfwcg1uj2,4,L,20,32,3.1,IBA154810,Early,processed_data/train/Dhfwcg1uj2_4.png
195,ID_218181_Znuc4o,Ubgsvkns3h,6,R,17,26,0.15,IKN130010,Early,processed_data/train/Ubgsvkns3h_6.png
196,ID_360463_P9hx91,J0zdanvgrq,5,L,10,20,2.9,TMEB693,Late,processed_data/train/J0zdanvgrq_5.png
197,ID_322158_S6zaav,Cex3glsnzv,4,L,40,47,0.8,DIXON,Early,processed_data/train/Cex3glsnzv_4.png
198,ID_410473_Jw3xrp,Nrse2plksd,5,R,25,35,0.8,TMEB693,Early,processed_data/train/Nrse2plksd_5.png
199,ID_252955_Sbkenf,Tbhppxjkvr,6,L,22,31,1.9,IBA980581,Early,processed_data/train/Tbhppxjkvr_6.png
