,ID,FolderName,PlantNumber,Side,Start,End,Genotype,Stage,WasSegmented,ImageSegments,Width
42,ID_876852_Heqaxi,L8w7zu7wek,4,R,27,33,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_876852_Heqaxi.png,963
43,ID_765162_G0c5vc,Puya1uaaln,6,L,26,42,TMEB419,Early,False,merged_images\test\ID_765162_G0c5vc.png,933
44,ID_519184_Fyxtoa,Yjzw2bylox,4,L,25,32,TMEB693,Early,False,merged_images\test\ID_519184_Fyxtoa.png,1011
45,ID_311718_O0eeqc,Vbkivqphuz,2,R,30,38,TMEB693,Early,False,merged_images\test\ID_311718_O0eeqc.png,943
46,ID_222441_Z7nwap,L6qdyaff5q,3,L,26,31,TMEB693,Early,False,merged_images\test\ID_222441_Z7nwap.png,1186
47,ID_343327_Aeyovq,L5l1h3kekg,1,R,40,47,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_343327_Aeyovq.png,977
48,ID_992996_Ccyjjv,Ox18ob0syv,5,R,21,28,IBA980581,Early,False,merged_images\test\ID_992996_Ccyjjv.png,937
49,ID_365338_Maiq4o,Mrw7chmalv,4,L,18,23,IBA154810,Early,False,merged_images\test\ID_365338_Maiq4o.png,915
50,ID_479401_Enwuci,Jtcfkuovxk,2,R,28,45,TMEB693,Early,False,merged_images\test\ID_479401_Enwuci.png,966
51,ID_413644_Pgwhvv,Mylwjeq6tq,1,R,19,42,IBA980581,Early,False,merged_images\test\ID_413644_Pgwhvv.png,1006
52,ID_156527_Vnxj3g,Lzkaccojep,5,R,16,25,TMEB419,Early,False,merged_images\test\ID_156527_Vnxj3g.png,976
53,ID_559506_Ulhfit,Pucqtyga9u,5,L,30,40,TMEB419,Early,False,merged_images\test\ID_559506_Ulhfit.png,899
54,ID_893458_Onvh8p,Izbgyxre0g,2,R,22,33,IBA154810,Early,False,merged_images\test\ID_893458_Onvh8p.png,942
55,ID_145848_Aijb13,Me1ufzzcxk,2,R,23,32,TMEB419,Early,False,merged_images\test\ID_145848_Aijb13.png,947
56,ID_159438_Jqvcr4,V6awcupt6m,7,L,34,41,TMEB693,Early,False,merged_images\test\ID_159438_Jqvcr4.png,1006
57,ID_752130_Cnfgmz,A6dzrkjqvl,2,L,33,42,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_752130_Cnfgmz.png,908
58,ID_187539_Psi6lt,Mpmvh2mgm3,7,L,32,40,TMEB419,Early,False,merged_images\test\ID_187539_Psi6lt.png,1030
59,ID_825817_Esl6bx,Mskdmpitqk,6,L,21,36,TMEB419,Early,False,merged_images\test\ID_825817_Esl6bx.png,903
60,ID_245704_Otgh5g,Vbkivqphuz,6,L,20,32,TMEB693,Early,False,merged_images\test\ID_245704_Otgh5g.png,955
61,ID_224012_Tjiv87,Kcqzgef5an,4,L,18,27,TMEB693,Early,False,merged_images\test\ID_224012_Tjiv87.png,1006
62,ID_231736_Pcqfqz,Qinorm9cg3,5,R,22,30,IBA980581,Early,False,merged_images\test\ID_231736_Pcqfqz.png,921
63,ID_575130_Tvm6zl,Bb02c5k7wm,6,L,22,31,TMEB693,Early,False,merged_images\test\ID_575130_Tvm6zl.png,928
64,ID_223010_Dazjvr,Ifqbqqrika,3,L,26,32,TMEB693,Early,False,merged_images\test\ID_223010_Dazjvr.png,913
65,ID_441970_Ut9ckr,Jrem9eo37e,2,R,23,41,IBA154810,Early,False,merged_images\test\ID_441970_Ut9ckr.png,885
66,ID_972296_Pqinvt,Hqcekwpxgu,5,R,30,39,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_972296_Pqinvt.png,932
67,ID_283856_Ptm0sx,Yjzw2bylox,4,R,23,40,TMEB693,Early,False,merged_images\test\ID_283856_Ptm0sx.png,1006
68,ID_697686_Uriarc,Q4uyruus4j,5,L,33,45,IBA980581,Early,False,merged_images\test\ID_697686_Uriarc.png,1027
69,ID_856306_Dyqouq,H9lomh5fxk,2,L,40,50,TMEB419,Early,False,merged_images\test\ID_856306_Dyqouq.png,899
70,ID_980579_Dvlnf0,Mskdmpitqk,3,L,21,36,TMEB419,Early,False,merged_images\test\ID_980579_Dvlnf0.png,903
71,ID_908386_Y3umpz,Mpmvh2mgm3,1,R,24,38,TMEB419,Early,False,merged_images\test\ID_908386_Y3umpz.png,1028
72,ID_176915_Ylbaig,Ecxdebmlnr,4,R,25,36,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_176915_Ylbaig.png,977
73,ID_914878_Hpvqtm,E1rmdjjang,6,L,8,20,IITA-TMS-IBA000070,Late,False,merged_images\test\ID_914878_Hpvqtm.png,972
74,ID_131583_Evinxg,Qinorm9cg3,2,R,22,30,IBA980581,Early,False,merged_images\test\ID_131583_Evinxg.png,921
75,ID_790313_Iqezrx,Q91mym9ev4,2,R,22,30,TMEB693,Early,False,merged_images\test\ID_790313_Iqezrx.png,952
76,ID_933780_Eqptfu,Cex3glsnzv,5,L,40,47,DIXON,Early,False,merged_images\test\ID_933780_Eqptfu.png,982
77,ID_132601_Kvvwtm,Lzkaccojep,6,R,16,25,TMEB419,Early,False,merged_images\test\ID_132601_Kvvwtm.png,976
78,ID_809641_N4gwvo,Vwsx0beaxb,6,R,19,28,IBA980581,Early,False,merged_images\test\ID_809641_N4gwvo.png,912
79,ID_242507_Metlm6,Qhqftdiz4q,2,R,49,60,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_242507_Metlm6.png,899
80,ID_707569_W2k21x,Vlcavd4dwj,7,L,34,42,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_707569_W2k21x.png,997
81,ID_525768_Lsommf,Vlqr6qhbqk,5,L,48,55,IBA154810,Early,False,merged_images\test\ID_525768_Lsommf.png,952
82,ID_151058_Yk52il,Klhqlr0ako,3,L,38,47,TMEB693,Early,False,merged_images\test\ID_151058_Yk52il.png,959
83,ID_771838_I7ay8f,Q91mym9ev4,2,L,22,33,TMEB693,Early,False,merged_images\test\ID_771838_I7ay8f.png,944
84,ID_406795_Yj29nq,Qhqftdiz4q,6,R,49,60,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_406795_Yj29nq.png,899
85,ID_794362_Ifduhx,V6awcupt6m,1,R,28,39,TMEB693,Early,False,merged_images\test\ID_794362_Ifduhx.png,1008
86,ID_591176_Ojyiiq,Yjzw2bylox,7,L,25,32,TMEB693,Early,False,merged_images\test\ID_591176_Ojyiiq.png,1011
87,ID_205406_Zi0uad,S11rphogci,1,R,25,35,IBA154810,Early,False,merged_images\test\ID_205406_Zi0uad.png,1009
88,ID_305375_Uknceg,Jrem9eo37e,4,L,29,36,IBA154810,Early,False,merged_images\test\ID_305375_Uknceg.png,907
89,ID_711994_Qksh6g,Dhfwcg1uj2,1,R,20,32,IBA154810,Early,False,merged_images\test\ID_711994_Qksh6g.png,971
90,ID_308339_Dqm2gd,L6qdyaff5q,5,L,26,31,TMEB693,Early,False,merged_images\test\ID_308339_Dqm2gd.png,1186
91,ID_688793_Ke6rju,L5l1h3kekg,5,R,40,47,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_688793_Ke6rju.png,977
92,ID_957083_Nszzb3,Q91mym9ev4,6,R,22,30,TMEB693,Early,False,merged_images\test\ID_957083_Nszzb3.png,952
93,ID_857540_Bvtz1t,Pctl4tyb9l,5,L,46,53,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_857540_Bvtz1t.png,937
94,ID_829195_Xylogt,S11rphogci,7,L,20,34,IBA154810,Early,False,merged_images\test\ID_829195_Xylogt.png,1009
95,ID_166161_Rnxese,Lwuwokuhrf,3,R,15,30,TMEB419,Early,False,merged_images\test\ID_166161_Rnxese.png,969
96,ID_701624_J0uboj,Vlqr6qhbqk,3,R,32,40,IBA154810,Early,False,merged_images\test\ID_701624_J0uboj.png,954
97,ID_136437_Voxgev,S6lk1xauct,6,R,24,39,TMEB419,Early,False,merged_images\test\ID_136437_Voxgev.png,865
98,ID_203460_Rk5egc,Jrem9eo37e,6,L,29,36,IBA154810,Early,False,merged_images\test\ID_203460_Rk5egc.png,907
99,ID_937281_S98c0m,Lwuwokuhrf,6,L,25,40,TMEB419,Early,False,merged_images\test\ID_937281_S98c0m.png,978
100,ID_832730_Ihuchl,S6lk1xauct,2,L,28,33,TMEB419,Early,False,merged_images\test\ID_832730_Ihuchl.png,868
101,ID_406946_Cs1rp8,Ubgsvkns3h,5,R,17,26,IKN130010,Early,False,merged_images\test\ID_406946_Cs1rp8.png,885
102,ID_815338_Zqmjqz,A6dzrkjqvl,5,L,33,42,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_815338_Zqmjqz.png,908
103,ID_674835_Ywjqie,Q91mym9ev4,6,L,22,33,TMEB693,Early,False,merged_images\test\ID_674835_Ywjqie.png,944
104,ID_425317_Yhzl3f,B8x7mhxe6z,2,R,20,30,IBA154810,Early,False,merged_images\test\ID_425317_Yhzl3f.png,959
105,ID_154540_Xnpdue,Vbkivqphuz,2,L,20,32,TMEB693,Early,False,merged_images\test\ID_154540_Xnpdue.png,955
106,ID_578883_Qkva3g,Yxmmb4wt55,3,R,17,32,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_578883_Qkva3g.png,948
107,ID_820184_Sgdqv1,Vlqr6qhbqk,5,R,32,40,IBA154810,Early,False,merged_images\test\ID_820184_Sgdqv1.png,954
108,ID_644491_Xizcat,Ummqfuetoc,4,L,25,32,IBA980581,Early,False,merged_images\test\ID_644491_Xizcat.png,993
109,ID_178522_Mzzxq2,R9jmsmugc0,6,L,17,21,TMEB693,Late,False,merged_images\test\ID_178522_Mzzxq2.png,980
110,ID_905630_Hi8zri,Qhqftdiz4q,2,L,28,38,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_905630_Hi8zri.png,905
111,ID_579127_Ocneey,Lsdgz02kdp,3,L,29,40,TMEB693,Early,False,merged_images\test\ID_579127_Ocneey.png,1027
112,ID_967932_Dt8pdv,Yvlyjpumzl,5,L,8,17,TMEB419,Late,False,merged_images\test\ID_967932_Dt8pdv.png,931
113,ID_399754_Xpvv2s,Ah4ubi4ggi,6,R,27,44,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_399754_Xpvv2s.png,907
114,ID_824179_Vopvrq,Ubgsvkns3h,5,L,33,40,IKN130010,Early,False,merged_images\test\ID_824179_Vopvrq.png,902
115,ID_149167_Cgb9eu,Dz9lpsl9ae,2,L,37,46,TMEB419,Early,False,merged_images\test\ID_149167_Cgb9eu.png,862
116,ID_431443_Rntvjg,L5l1h3kekg,3,L,38,50,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_431443_Rntvjg.png,978
117,ID_842285_Midsgu,Lnkljfdtgh,4,R,23,43,IBA980581,Early,False,merged_images\test\ID_842285_Midsgu.png,1045
118,ID_186020_X70lop,Lzkaccojep,3,L,24,39,TMEB419,Early,False,merged_images\test\ID_186020_X70lop.png,956
119,ID_421935_Y5p6aj,Ox18ob0syv,2,L,25,32,IBA980581,Early,False,merged_images\test\ID_421935_Y5p6aj.png,935
120,ID_882394_F1mqj8,Cex3glsnzv,6,L,40,47,DIXON,Early,False,merged_images\test\ID_882394_F1mqj8.png,982
121,ID_790618_U5gu4z,Nrse2plksd,6,L,19,30,TMEB693,Early,False,merged_images\test\ID_790618_U5gu4z.png,989
122,ID_219379_Cmqngh,Geksu5kuf3,2,R,35,44,TMEB693,Early,False,merged_images\test\ID_219379_Cmqngh.png,917
123,ID_580613_Sb9dfx,Wgutyon8uu,2,L,18,45,TMEB419,Early,False,merged_images\test\ID_580613_Sb9dfx.png,1018
124,ID_367528_Grp2b7,Ox18ob0syv,3,L,25,32,IBA980581,Early,False,merged_images\test\ID_367528_Grp2b7.png,935
125,ID_652025_Ecubfg,L8w7zu7wek,4,L,33,51,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_652025_Ecubfg.png,964
126,ID_456856_Iucagp,Klhqlr0ako,2,L,38,47,TMEB693,Early,False,merged_images\test\ID_456856_Iucagp.png,959
127,ID_163551_Alfdb5,Vlqr6qhbqk,3,L,48,55,IBA154810,Early,False,merged_images\test\ID_163551_Alfdb5.png,952
128,ID_947929_Qsuqln,Pfp24vx905,5,R,27,34,TMEB419,Early,False,merged_images\test\ID_947929_Qsuqln.png,1022
129,ID_225470_Hju47r,Qhqftdiz4q,6,L,28,38,IITA-TMS-IBA000070,Early,False,merged_images\test\ID_225470_Hju47r.png,905
